seed1	3203395597
seed2	3737844653
num_generations	1000
num_sites	2e+08
num_populations	2
init_mse	0
prev_sim_sample	0
compact_type	compact_all
compact_interval	100
device	0

number of time samples	2
time sample	0		1
generation	20000		21000
number of mutations reported	5221		16682
total number of mutations generated	5221		404902
(19997,1,37,0)	0	5	0	0
(19997,1,40,0)	0	1	0	0
(19997,1,42,0)	0	2	0	0
(19997,1,45,0)	1	3	0	0
(19997,1,46,0)	0	1	0	0
(19997,1,47,0)	0	2	0	0
(19997,1,48,0)	0	1	0	0
(19997,1,49,0)	0	3	0	0
(19997,1,53,0)	0	1	0	0
(19997,1,57,0)	0	1	0	0
(19997,1,61,0)	0	2	866	975
(19997,1,62,0)	0	2	0	0
(19997,1,64,0)	0	3	0	0
(19997,1,65,0)	0	6	0	0
(19997,1,75,0)	0	2	853	989
(19997,1,77,0)	0	2	0	0
(19997,1,79,0)	0	2	0	0
(19997,1,80,0)	0	5	0	0
(19997,1,81,0)	0	2	0	0
(19997,1,86,0)	0	6	0	0
(19997,1,90,0)	0	1	0	0
(19997,1,94,0)	0	3	0	0
(19997,1,100,0)	0	2	0	0
(19997,1,108,0)	0	4	0	0
(19997,1,109,0)	0	1	0	0
(19997,1,110,0)	0	4	0	0
(19997,1,111,0)	0	4	0	0
(19997,1,112,0)	0	2	0	0
(19997,1,113,0)	0	4	0	0
(19997,1,115,0)	0	2	0	0
(19997,1,116,0)	0	2	0	0
(19997,1,117,0)	0	5	0	0
(19997,1,119,0)	0	4	0	0
(19997,1,121,0)	0	3	998	1000
(19997,1,123,0)	0	2	0	0
(19997,1,134,0)	0	2	0	0
(19997,1,136,0)	0	2	0	0
(19997,1,138,0)	0	5	0	0
(19997,1,147,0)	0	3	0	0
(19997,1,148,0)	0	2	0	0
(19997,1,150,0)	0	1	0	0
(19997,1,151,0)	0	1	0	0
(19997,1,152,0)	0	2	0	0
(19997,1,158,0)	0	3	0	0
(19997,1,160,0)	0	9	0	0
(19997,1,161,0)	0	5	0	0
(19997,1,168,0)	0	1	0	0
(19997,1,170,0)	0	2	0	0
(19997,1,174,0)	0	2	0	0
(19997,1,178,0)	0	6	991	982
(19997,1,179,0)	0	2	0	0
(19997,1,181,0)	0	4	0	0
(19997,1,182,0)	0	1	0	0
(19997,1,184,0)	0	1	0	0
(19998,0,3,0)	2	0	0	0
(19998,0,4,0)	4	0	0	0
(19998,0,6,0)	1	0	0	0
(19998,0,11,0)	1	0	0	0
(19998,0,13,0)	1	0	0	0
(19998,0,16,0)	2	0	0	0
(19998,0,19,0)	3	0	0	0
(19998,0,21,0)	2	0	0	0
(19998,0,25,0)	2	0	0	0
(19998,0,28,0)	3	0	0	0
(19998,0,31,0)	2	0	0	0
(19998,0,32,0)	2	0	0	0
(19998,0,33,0)	1	0	0	0
(19998,0,35,0)	1	0	0	0
(19998,0,37,0)	4	0	0	0
(19998,0,39,0)	2	0	0	0
(19998,0,40,0)	1	0	0	0
(19998,0,46,0)	2	0	0	0
(19998,0,47,0)	1	0	0	0
(19998,0,48,0)	2	0	0	0
(19998,0,50,0)	3	0	0	0
(19998,0,51,0)	2	0	0	0
(19998,0,52,0)	5	0	0	0
(19998,0,56,0)	4	0	0	0
(19998,0,57,0)	2	0	0	0
(19998,0,58,0)	2	0	0	0
(19998,0,59,0)	1	0	0	0
(19998,0,61,0)	1	0	0	0
(19998,0,62,0)	3	0	0	0
(19998,0,66,0)	1	0	0	0
(19998,0,68,0)	3	0	0	0
(19998,0,70,0)	1	0	0	0
(19998,0,71,0)	2	0	0	0
(19998,0,76,0)	2	0	0	0
(19998,0,77,0)	9	0	0	0
(19998,0,81,0)	4	0	0	0
(19998,0,84,0)	2	0	0	0
(19998,0,88,0)	2	0	0	0
(19998,0,90,0)	5	0	0	0
(19998,0,91,0)	4	0	0	0
(19998,0,92,0)	1	0	0	0
(19998,0,93,0)	1	0	0	0
(19998,0,95,0)	1	0	0	0
(19998,0,105,0)	2	0	0	0
(19998,0,106,0)	1	0	0	0
(19998,0,107,0)	4	0	0	0
(19998,0,108,0)	1	0	0	0
(19998,0,111,0)	2	0	0	0
(19998,0,112,0)	3	0	0	0
(19998,0,114,0)	2	0	0	0
(19998,0,116,0)	1	0	0	0
(19998,0,119,0)	1	0	0	0
(19998,0,121,0)	3	0	0	0
(19998,0,123,0)	1	0	0	0
(19998,0,124,0)	3	0	0	0
(19998,0,127,0)	2	0	0	0
(19998,0,128,0)	1	0	0	0
(19998,0,131,0)	1	0	0	0
(19998,0,132,0)	4	0	0	0
(19998,0,135,0)	2	0	0	0
(19998,0,136,0)	2	0	0	0
(19998,0,137,0)	1	0	0	0
(19998,0,138,0)	1	0	0	0
(19998,0,140,0)	1	0	0	0
(19998,0,141,0)	1	0	0	0
(19998,0,143,0)	1	0	0	0
(19998,0,144,0)	0	1	0	0
(19998,0,149,0)	3	0	0	0
(19998,0,150,0)	1	0	0	0
(19998,0,159,0)	2	0	0	0
(19998,0,160,0)	5	0	0	0
(19998,0,166,0)	2	0	0	0
(19998,0,167,0)	1	0	0	0
(19998,0,169,0)	1	0	0	0
(19998,0,170,0)	1	0	0	0
(19998,0,172,0)	1	0	0	0
(19998,0,173,0)	1	0	0	0
(19998,0,174,0)	1	0	0	0
(19998,0,175,0)	2	0	1000	1000
(19998,0,176,0)	1	0	0	0
(19998,0,177,0)	1	0	0	0
(19998,0,178,0)	1	0	0	0
(19998,0,179,0)	6	0	0	0
(19998,0,180,0)	3	0	0	0
(19998,0,183,0)	2	0	0	0
(19998,0,184,0)	2	0	0	0
(19998,0,185,0)	2	0	0	0
(19998,0,187,0)	1	0	0	0
(19998,0,188,0)	3	0	0	0
(19998,0,190,0)	6	0	0	0
(19998,0,191,0)	2	0	0	0
(19998,0,199,0)	2	0	0	0
(19998,0,201,0)	3	0	0	0
(19998,0,202,0)	1	0	0	0
(19998,0,203,0)	3	0	0	0
(19998,0,204,0)	2	0	0	0
(19998,0,210,0)	1	0	0	0
(19998,0,211,0)	6	0	1000	1000
(19998,1,2,0)	0	3	0	0
(19998,1,4,0)	0	1	0	0
(19998,1,5,0)	1	3	0	0
(19998,1,7,0)	1	1	0	0
(19998,1,13,0)	0	2	0	0
(19998,1,14,0)	0	4	0	0
(19998,1,15,0)	0	2	0	0
(19998,1,18,0)	0	4	0	0
(19998,1,19,0)	0	3	0	0
(19998,1,21,0)	0	2	0	0
(19998,1,24,0)	0	1	0	0
(19998,1,26,0)	0	1	0	0
(19998,1,27,0)	0	1	0	0
(19998,1,30,0)	0	3	0	0
(19998,1,31,0)	0	6	0	0
(19998,1,32,0)	0	1	0	0
(19998,1,35,0)	0	1	0	0
(19998,1,36,0)	0	3	0	0
(19998,1,39,0)	0	1	0	0
(19998,1,40,0)	0	1	0	0
(19998,1,43,0)	0	2	0	0
(19998,1,44,0)	0	1	0	0
(19998,1,45,0)	0	6	0	0
(19998,1,49,0)	0	2	0	0
(19998,1,51,0)	0	2	0	0
(19998,1,54,0)	0	3	0	0
(19998,1,58,0)	0	1	0	0
(19998,1,60,0)	0	5	0	0
(19998,1,61,0)	0	1	0	0
(19998,1,62,0)	0	4	0	0
(19998,1,66,0)	0	4	0	0
(19998,1,67,0)	0	3	0	0
(19998,1,68,0)	0	2	0	0
(19998,1,79,0)	0	1	0	0
(19998,1,83,0)	0	1	0	0
(19998,1,85,0)	0	1	0	0
(19998,1,87,0)	1	0	0	0
(19998,1,89,0)	0	4	0	0
(19998,1,92,0)	0	2	0	0
(19998,1,93,0)	0	1	0	0
(19998,1,96,0)	0	2	0	0
(19998,1,99,0)	0	6	755	984
(19998,1,100,0)	0	3	0	0
(19998,1,101,0)	0	2	0	0
(19998,1,103,0)	0	1	0	0
(19998,1,105,0)	1	0	0	0
(19998,1,106,0)	0	2	0	0
(19998,1,108,0)	0	1	0	0
(19998,1,109,0)	0	4	971	982
(19998,1,111,0)	0	2	0	0
(19998,1,113,0)	0	1	0	0
(19998,1,114,0)	0	1	0	0
(19998,1,115,0)	0	2	0	0
(19998,1,116,0)	0	3	0	0
(19998,1,117,0)	0	1	0	0
(19998,1,118,0)	0	2	0	0
(19998,1,120,0)	0	2	0	0
(19998,1,121,0)	0	1	0	0
(19998,1,122,0)	0	2	0	0
(19998,1,123,0)	0	1	0	0
(19998,1,125,0)	0	1	0	0
(19998,1,129,0)	0	3	0	0
(19998,1,132,0)	0	1	0	0
(19998,1,135,0)	0	2	0	0
(19998,1,139,0)	0	5	0	0
(19998,1,140,0)	0	1	0	0
(19998,1,144,0)	0	1	0	0
(19998,1,147,0)	0	1	0	0
(19998,1,149,0)	0	3	0	0
(19998,1,152,0)	0	3	0	0
(19998,1,155,0)	0	1	0	0
(19998,1,156,0)	0	1	0	0
(19998,1,158,0)	0	3	0	0
(19998,1,159,0)	0	1	0	0
(19998,1,160,0)	0	1	0	0
(19998,1,161,0)	0	1	0	0
(19998,1,163,0)	0	2	0	0
(19998,1,164,0)	0	3	0	0
(19998,1,171,0)	0	3	0	0
(19998,1,173,0)	0	5	0	0
(19998,1,174,0)	0	1	0	0
(19998,1,177,0)	0	1	0	0
(19998,1,181,0)	0	3	0	0
(19998,1,185,0)	0	3	0	0
(19998,1,188,0)	0	1	0	0
(19998,1,191,0)	0	1	0	0
(19998,1,192,0)	0	3	0	0
(19998,1,193,0)	0	1	0	0
(19998,1,198,0)	0	1	0	0
(19998,1,199,0)	0	3	0	0
(19998,1,200,0)	0	1	0	0
(19998,1,203,0)	0	3	0	0
(19998,1,204,0)	0	4	0	0
(19999,0,0,0)	1	0	0	0
(19999,0,1,0)	1	1	0	0
(19999,0,2,0)	1	0	0	0
(19999,0,4,0)	1	0	0	0
(19999,0,5,0)	1	0	0	0
(19999,0,9,0)	1	0	0	0
(19999,0,11,0)	1	0	0	0
(19999,0,14,0)	1	0	0	0
(19999,0,16,0)	2	0	0	0
(19999,0,21,0)	3	0	0	0
(19999,0,22,0)	1	0	0	0
(19999,0,23,0)	1	0	0	0
(19999,0,25,0)	2	0	0	0
(19999,0,28,0)	1	0	0	0
(19999,0,29,0)	1	0	0	0
(19999,0,30,0)	2	0	0	0
(19999,0,31,0)	1	0	0	0
(19999,0,32,0)	2	0	980	995
(19999,0,36,0)	3	0	0	0
(19999,0,37,0)	1	0	0	0
(19999,0,38,0)	1	0	0	0
(19999,0,40,0)	1	0	0	0
(19999,0,41,0)	2	0	0	0
(19999,0,44,0)	1	0	0	0
(19999,0,45,0)	1	0	0	0
(19999,0,48,0)	1	0	0	0
(19999,0,49,0)	1	0	0	0
(19999,0,50,0)	1	0	0	0
(19999,0,51,0)	2	0	0	0
(19999,0,52,0)	1	0	0	0
(19999,0,53,0)	2	0	0	0
(19999,0,54,0)	1	0	0	0
(19999,0,55,0)	1	0	0	0
(19999,0,56,0)	1	0	0	0
(19999,0,58,0)	2	0	0	0
(19999,0,60,0)	2	0	0	0
(19999,0,61,0)	1	0	0	0
(19999,0,63,0)	1	0	0	0
(19999,0,65,0)	5	0	0	0
(19999,0,67,0)	2	0	0	0
(19999,0,68,0)	1	1	0	0
(19999,0,69,0)	1	0	0	0
(19999,0,70,0)	2	0	0	0
(19999,0,71,0)	1	0	0	0
(19999,0,72,0)	1	0	0	0
(19999,0,73,0)	1	0	0	0
(19999,0,74,0)	1	0	0	0
(19999,0,75,0)	3	0	0	0
(19999,0,77,0)	1	0	0	0
(19999,0,79,0)	1	0	0	0
(19999,0,81,0)	1	0	0	0
(19999,0,82,0)	1	0	0	0
(19999,0,85,0)	2	0	0	0
(19999,0,86,0)	2	0	0	0
(19999,0,87,0)	1	0	0	0
(19999,0,88,0)	3	0	0	0
(19999,0,89,0)	1	0	0	0
(19999,0,90,0)	1	0	0	0
(19999,0,91,0)	3	0	0	0
(19999,0,92,0)	1	0	0	0
(19999,0,93,0)	1	0	0	0
(19999,0,94,0)	1	0	0	0
(19999,0,95,0)	1	0	0	0
(19999,0,96,0)	1	0	0	0
(19999,0,98,0)	1	0	0	0
(19999,0,99,0)	4	0	0	0
(19999,0,100,0)	2	0	0	0
(19999,0,101,0)	1	0	0	0
(19999,0,102,0)	1	0	0	0
(19999,0,103,0)	2	0	0	0
(19999,0,106,0)	3	0	0	0
(19999,0,110,0)	2	0	0	0
(19999,0,111,0)	4	0	0	0
(19999,0,112,0)	1	0	0	0
(19999,0,113,0)	1	0	0	0
(19999,0,115,0)	3	0	0	0
(19999,0,116,0)	1	0	0	0
(19999,0,118,0)	2	0	0	0
(19999,0,119,0)	1	0	0	0
(19999,0,121,0)	1	0	0	0
(19999,0,123,0)	2	0	0	0
(19999,0,124,0)	1	0	0	0
(19999,0,125,0)	2	0	0	0
(19999,0,127,0)	1	0	0	0
(19999,0,129,0)	1	0	0	0
(19999,0,130,0)	1	0	0	0
(19999,0,131,0)	1	0	0	0
(19999,0,134,0)	2	0	0	0
(19999,0,135,0)	1	0	0	0
(19999,0,140,0)	2	0	0	0
(19999,0,141,0)	1	0	0	0
(19999,0,142,0)	3	0	0	0
(19999,0,143,0)	1	0	0	0
(19999,0,144,0)	1	0	0	0
(19999,0,145,0)	3	0	0	0
(19999,0,146,0)	1	0	0	0
(19999,0,148,0)	1	0	0	0
(19999,0,149,0)	1	0	0	0
(19999,0,151,0)	1	0	0	0
(19999,0,152,0)	2	0	0	0
(19999,0,155,0)	1	0	0	0
(19999,0,156,0)	1	0	0	0
(19999,0,157,0)	1	0	0	0
(19999,0,159,0)	1	0	0	0
(19999,0,161,0)	1	0	0	0
(19999,0,162,0)	2	0	0	0
(19999,0,163,0)	2	0	0	0
(19999,0,164,0)	1	0	0	0
(19999,0,165,0)	2	0	0	0
(19999,0,166,0)	4	0	0	0
(19999,0,167,0)	2	0	0	0
(19999,0,168,0)	2	0	0	0
(19999,0,170,0)	1	0	0	0
(19999,0,172,0)	4	0	0	0
(19999,0,174,0)	3	0	0	0
(19999,0,175,0)	1	0	0	0
(19999,0,177,0)	2	0	0	0
(19999,0,178,0)	1	0	0	0
(19999,0,181,0)	2	0	0	0
(19999,0,182,0)	2	0	0	0
(19999,0,183,0)	1	0	0	0
(19999,0,184,0)	1	0	0	0
(19999,0,185,0)	1	0	0	0
(19999,0,187,0)	3	0	0	0
(19999,0,188,0)	1	0	0	0
(19999,0,189,0)	2	0	0	0
(19999,0,190,0)	1	0	0	0
(19999,0,192,0)	1	0	0	0
(19999,0,194,0)	2	0	0	0
(19999,0,196,0)	1	0	0	0
(19999,0,198,0)	2	0	0	0
(19999,0,200,0)	2	0	0	0
(19999,0,206,0)	1	0	0	0
(19999,0,207,0)	1	0	0	0
(19999,1,0,0)	0	1	0	0
(19999,1,1,0)	0	1	0	0
(19999,1,2,0)	0	1	0	0
(19999,1,3,0)	0	1	0	0
(19999,1,4,0)	0	1	0	0
(19999,1,5,0)	0	4	0	0
(19999,1,9,0)	0	1	0	0
(19999,1,12,0)	0	2	0	0
(19999,1,13,0)	0	4	0	0
(19999,1,15,0)	0	2	0	0
(19999,1,16,0)	0	2	0	0
(19999,1,17,0)	0	2	0	0
(19999,1,18,0)	0	1	0	0
(19999,1,21,0)	0	1	0	0
(19999,1,23,0)	0	2	0	0
(19999,1,26,0)	0	2	0	0
(19999,1,27,0)	0	1	0	0
(19999,1,28,0)	0	1	0	0
(19999,1,30,0)	0	2	963	944
(19999,1,32,0)	0	2	0	0
(19999,1,35,0)	0	2	0	0
(19999,1,36,0)	0	1	0	0
(19999,1,37,0)	0	2	0	0
(19999,1,39,0)	0	1	0	0
(19999,1,41,0)	0	1	0	0
(19999,1,44,0)	0	3	0	0
(19999,1,45,0)	0	2	0	0
(19999,1,46,0)	0	2	0	0
(19999,1,47,0)	0	1	0	0
(19999,1,50,0)	0	2	0	0
(19999,1,51,0)	0	3	0	0
(19999,1,52,0)	0	1	0	0
(19999,1,53,0)	0	1	0	0
(19999,1,57,0)	0	2	0	0
(19999,1,58,0)	0	3	0	0
(19999,1,60,0)	0	1	0	0
(19999,1,62,0)	0	1	0	0
(19999,1,63,0)	0	2	0	0
(19999,1,64,0)	0	1	0	0
(19999,1,65,0)	0	1	0	0
(19999,1,67,0)	0	1	0	0
(19999,1,68,0)	0	1	0	0
(19999,1,69,0)	0	2	0	0
(19999,1,70,0)	0	1	0	0
(19999,1,71,0)	0	1	0	0
(19999,1,72,0)	0	3	0	0
(19999,1,73,0)	0	3	0	0
(19999,1,75,0)	0	2	0	0
(19999,1,77,0)	0	1	0	0
(19999,1,79,0)	0	3	0	0
(19999,1,81,0)	0	1	0	0
(19999,1,82,0)	0	1	0	0
(19999,1,83,0)	0	1	0	0
(19999,1,86,0)	0	1	0	0
(19999,1,89,0)	0	1	0	0
(19999,1,91,0)	0	3	0	0
(19999,1,93,0)	0	1	0	0
(19999,1,94,0)	0	1	0	0
(19999,1,100,0)	0	1	0	0
(19999,1,101,0)	0	2	0	0
(19999,1,102,0)	0	1	0	0
(19999,1,104,0)	0	1	0	0
(19999,1,105,0)	0	2	0	0
(19999,1,106,0)	0	2	0	0
(19999,1,108,0)	0	1	0	0
(19999,1,109,0)	0	1	0	0
(19999,1,110,0)	0	4	0	0
(19999,1,111,0)	0	1	0	0
(19999,1,112,0)	0	1	0	0
(19999,1,113,0)	0	2	0	0
(19999,1,114,0)	0	2	0	0
(19999,1,115,0)	0	2	0	0
(19999,1,116,0)	0	1	0	0
(19999,1,119,0)	0	2	0	0
(19999,1,120,0)	0	1	0	0
(19999,1,121,0)	0	1	0	0
(19999,1,122,0)	0	1	0	0
(19999,1,124,0)	0	1	0	0
(19999,1,127,0)	0	2	0	0
(19999,1,132,0)	0	2	0	0
(19999,1,133,0)	0	2	0	0
(19999,1,134,0)	0	2	0	0
(19999,1,138,0)	0	2	0	0
(19999,1,139,0)	0	1	0	0
(19999,1,140,0)	0	1	0	0
(19999,1,143,0)	0	2	0	0
(19999,1,145,0)	0	1	0	0
(19999,1,146,0)	0	1	0	0
(19999,1,147,0)	0	1	0	0
(19999,1,148,0)	0	2	0	0
(19999,1,149,0)	0	2	0	0
(19999,1,150,0)	0	2	0	0
(19999,1,151,0)	0	1	0	0
(19999,1,152,0)	0	1	0	0
(19999,1,155,0)	0	1	0	0
(19999,1,156,0)	0	1	0	0
(19999,1,157,0)	0	2	0	0
(19999,1,158,0)	0	1	0	0
(19999,1,160,0)	0	1	0	0
(19999,1,161,0)	0	2	0	0
(19999,1,164,0)	0	1	0	0
(19999,1,165,0)	0	1	0	0
(19999,1,166,0)	0	1	0	0
(19999,1,168,0)	0	1	850	983
(19999,1,169,0)	0	1	0	0
(19999,1,173,0)	0	1	925	998
(19999,1,175,0)	0	1	0	0
(19999,1,177,0)	0	2	0	0
(19999,1,178,0)	0	1	0	0
(19999,1,179,0)	0	1	0	0
(19999,1,180,0)	0	2	0	0
(19999,1,183,0)	0	2	0	0
(19999,1,184,0)	0	1	0	0
(19999,1,185,0)	0	3	0	0
(19999,1,186,0)	0	1	0	0
(19999,1,187,0)	0	3	0	0
(19999,1,188,0)	0	2	0	0
(19999,1,191,0)	0	1	0	0
(19999,1,193,0)	0	2	0	0
(19999,1,195,0)	0	2	0	0
(19999,1,196,0)	0	1	0	0
(19999,1,197,0)	0	1	0	0
(19999,1,199,0)	0	1	0	0
(19999,1,200,0)	0	2	0	0
(19999,1,201,0)	0	1	0	0
(19999,1,203,0)	0	1	0	0
(19999,1,205,0)	0	3	0	0
(19999,1,206,0)	0	1	0	0
(19999,1,208,0)	0	3	0	0
(19999,1,209,0)	0	1	0	0
(19999,1,210,0)	0	2	0	0
(19999,1,211,0)	0	1	0	0
(19999,1,212,0)	0	1	0	0
(19999,1,213,0)	0	1	0	0
(19999,1,214,0)	0	2	0	0
(19999,1,218,0)	0	2	0	0
(20000,0,0,0)	1	0	0	0
(20000,0,1,0)	1	0	0	0
(20000,0,2,0)	1	0	0	0
(20000,0,3,0)	1	0	0	0
(20000,0,4,0)	1	0	0	0
(20000,0,5,0)	1	0	0	0
(20000,0,6,0)	1	0	0	0
(20000,0,7,0)	1	0	0	0
(20000,0,8,0)	1	0	0	0
(20000,0,9,0)	1	0	0	0
(20000,0,10,0)	1	0	0	0
(20000,0,11,0)	1	0	0	0
(20000,0,12,0)	1	0	0	0
(20000,0,13,0)	1	0	0	0
(20000,0,14,0)	1	0	0	0
(20000,0,15,0)	1	0	0	0
(20000,0,16,0)	1	0	0	0
(20000,0,17,0)	1	0	0	0
(20000,0,18,0)	1	0	0	0
(20000,0,19,0)	1	0	0	0
(20000,0,20,0)	1	0	0	0
(20000,0,21,0)	1	0	0	0
(20000,0,22,0)	1	0	0	0
(20000,0,23,0)	1	0	0	0
(20000,0,24,0)	1	0	0	0
(20000,0,25,0)	1	0	0	0
(20000,0,26,0)	1	0	0	0
(20000,0,27,0)	1	0	0	0
(20000,0,28,0)	1	0	0	0
(20000,0,29,0)	1	0	0	0
(20000,0,30,0)	1	0	0	0
(20000,0,31,0)	1	0	0	0
(20000,0,32,0)	1	0	0	0
(20000,0,33,0)	1	0	0	0
(20000,0,34,0)	1	0	0	0
(20000,0,35,0)	1	0	0	0
(20000,0,36,0)	1	0	0	0
(20000,0,37,0)	1	0	0	0
(20000,0,38,0)	1	0	0	0
(20000,0,39,0)	1	0	0	0
(20000,0,40,0)	1	0	0	0
(20000,0,41,0)	1	0	0	0
(20000,0,42,0)	1	0	0	0
(20000,0,43,0)	1	0	0	0
(20000,0,44,0)	1	0	0	0
(20000,0,45,0)	1	0	0	0
(20000,0,46,0)	1	0	0	0
(20000,0,47,0)	1	0	0	0
(20000,0,48,0)	1	0	0	0
(20000,0,49,0)	1	0	0	0
(20000,0,50,0)	1	0	0	0
(20000,0,51,0)	1	0	0	0
(20000,0,52,0)	1	0	0	0
(20000,0,53,0)	1	0	0	0
(20000,0,54,0)	1	0	0	0
(20000,0,55,0)	1	0	0	0
(20000,0,56,0)	1	0	0	0
(20000,0,57,0)	1	0	0	0
(20000,0,58,0)	1	0	0	0
(20000,0,59,0)	1	0	0	0
(20000,0,60,0)	1	0	0	0
(20000,0,61,0)	1	0	0	0
(20000,0,62,0)	1	0	0	0
(20000,0,63,0)	1	0	0	0
(20000,0,64,0)	1	0	0	0
(20000,0,65,0)	1	0	0	0
(20000,0,66,0)	1	0	0	0
(20000,0,67,0)	1	0	0	0
(20000,0,68,0)	1	0	0	0
(20000,0,69,0)	1	0	0	0
(20000,0,70,0)	1	0	0	0
(20000,0,71,0)	1	0	0	0
(20000,0,72,0)	1	0	0	0
(20000,0,73,0)	1	0	0	0
(20000,0,74,0)	1	0	0	0
(20000,0,75,0)	1	0	0	0
(20000,0,76,0)	1	0	0	0
(20000,0,77,0)	1	0	0	0
(20000,0,78,0)	1	0	0	0
(20000,0,79,0)	1	0	0	0
(20000,0,80,0)	1	0	0	0
(20000,0,81,0)	1	0	0	0
(20000,0,82,0)	1	0	0	0
(20000,0,83,0)	1	0	0	0
(20000,0,84,0)	1	0	0	0
(20000,0,85,0)	1	0	0	0
(20000,0,86,0)	1	0	0	0
(20000,0,87,0)	1	0	0	0
(20000,0,88,0)	1	0	0	0
(20000,0,89,0)	1	0	0	0
(20000,0,90,0)	1	0	0	0
(20000,0,91,0)	1	0	0	0
(20000,0,92,0)	1	0	0	0
(20000,0,93,0)	1	0	0	0
(20000,0,94,0)	1	0	0	0
(20000,0,95,0)	1	0	0	0
(20000,0,96,0)	1	0	0	0
(20000,0,97,0)	1	0	0	0
(20000,0,98,0)	1	0	0	0
(20000,0,99,0)	1	0	0	0
(20000,0,100,0)	1	0	0	0
(20000,0,101,0)	1	0	0	0
(20000,0,102,0)	1	0	0	0
(20000,0,103,0)	1	0	0	0
(20000,0,104,0)	1	0	0	0
(20000,0,105,0)	1	0	0	0
(20000,0,106,0)	1	0	0	0
(20000,0,107,0)	1	0	0	0
(20000,0,108,0)	1	0	0	0
(20000,0,109,0)	1	0	0	0
(20000,0,110,0)	1	0	0	0
(20000,0,111,0)	1	0	0	0
(20000,0,112,0)	1	0	0	0
(20000,0,113,0)	1	0	0	0
(20000,0,114,0)	1	0	0	0
(20000,0,115,0)	1	0	0	0
(20000,0,116,0)	1	0	0	0
(20000,0,117,0)	1	0	0	0
(20000,0,118,0)	1	0	0	0
(20000,0,119,0)	1	0	0	0
(20000,0,120,0)	1	0	0	0
(20000,0,121,0)	1	0	0	0
(20000,0,122,0)	1	0	0	0
(20000,0,123,0)	1	0	0	0
(20000,0,124,0)	1	0	0	0
(20000,0,125,0)	1	0	0	0
(20000,0,126,0)	1	0	0	0
(20000,0,127,0)	1	0	0	0
(20000,0,128,0)	1	0	0	0
(20000,0,129,0)	1	0	0	0
(20000,0,130,0)	1	0	0	0
(20000,0,131,0)	1	0	0	0
(20000,0,132,0)	1	0	0	0
(20000,0,133,0)	1	0	0	0
(20000,0,134,0)	1	0	0	0
(20000,0,135,0)	1	0	0	0
(20000,0,136,0)	1	0	0	0
(20000,0,137,0)	1	0	0	0
(20000,0,138,0)	1	0	0	0
(20000,0,139,0)	1	0	0	0
(20000,0,140,0)	1	0	0	0
(20000,0,141,0)	1	0	0	0
(20000,0,142,0)	1	0	0	0
(20000,0,143,0)	1	0	0	0
(20000,0,144,0)	1	0	0	0
(20000,0,145,0)	1	0	0	0
(20000,0,146,0)	1	0	0	0
(20000,0,147,0)	1	0	0	0
(20000,0,148,0)	1	0	0	0
(20000,0,149,0)	1	0	0	0
(20000,0,150,0)	1	0	0	0
(20000,0,151,0)	1	0	0	0
(20000,0,152,0)	1	0	0	0
(20000,0,153,0)	1	0	0	0
(20000,0,154,0)	1	0	0	0
(20000,0,155,0)	1	0	0	0
(20000,0,156,0)	1	0	0	0
(20000,0,157,0)	1	0	0	0
(20000,0,158,0)	1	0	0	0
(20000,0,159,0)	1	0	0	0
(20000,0,160,0)	1	0	0	0
(20000,0,161,0)	1	0	0	0
(20000,0,162,0)	1	0	0	0
(20000,0,163,0)	1	0	0	0
(20000,0,164,0)	1	0	0	0
(20000,0,165,0)	1	0	925	992
(20000,0,166,0)	1	0	0	0
(20000,0,167,0)	1	0	0	0
(20000,0,168,0)	1	0	0	0
(20000,0,169,0)	1	0	0	0
(20000,0,170,0)	1	0	0	0
(20000,0,171,0)	1	0	0	0
(20000,0,172,0)	1	0	0	0
(20000,0,173,0)	1	0	0	0
(20000,0,174,0)	1	0	0	0
(20000,0,175,0)	1	0	0	0
(20000,0,176,0)	1	0	0	0
(20000,0,177,0)	1	0	0	0
(20000,0,178,0)	1	0	0	0
(20000,0,179,0)	1	0	0	0
(20000,1,0,0)	0	1	0	0
(20000,1,1,0)	0	1	1000	1000
(20000,1,2,0)	0	1	0	0
(20000,1,3,0)	0	1	0	0
(20000,1,4,0)	0	1	0	0
(20000,1,5,0)	0	1	0	0
(20000,1,6,0)	0	1	0	0
(20000,1,7,0)	0	1	0	0
(20000,1,8,0)	0	1	0	0
(20000,1,9,0)	0	1	0	0
(20000,1,10,0)	0	1	0	0
(20000,1,11,0)	0	1	0	0
(20000,1,12,0)	0	1	0	0
(20000,1,13,0)	0	1	0	0
(20000,1,14,0)	0	1	0	0
(20000,1,15,0)	0	1	0	0
(20000,1,16,0)	0	1	0	0
(20000,1,17,0)	0	1	0	0
(20000,1,18,0)	0	1	0	0
(20000,1,19,0)	0	1	0	0
(20000,1,20,0)	0	1	0	0
(20000,1,21,0)	0	1	0	0
(20000,1,22,0)	0	1	0	0
(20000,1,23,0)	0	1	0	0
(20000,1,24,0)	0	1	0	0
(20000,1,25,0)	0	1	0	0
(20000,1,26,0)	0	1	0	0
(20000,1,27,0)	0	1	0	0
(20000,1,28,0)	0	1	0	0
(20000,1,29,0)	0	1	0	0
(20000,1,30,0)	0	1	0	0
(20000,1,31,0)	0	1	0	0
(20000,1,32,0)	0	1	0	0
(20000,1,33,0)	0	1	0	0
